--- Cầu thủ mới được thêm vào ngày 16/12/2025 ---
  - ID: 645481cc, Tên: Noah Sadiki
  - ID: bc7dc64d, Tên: Bukayo Saka
  - ID: e342ad68, Tên: Mohamed Salah
  - ID: 972aeb2a, Tên: William Saliba
  - ID: 6a713852, Tên: Robert Sánchez
  - ID: dbf053da, Tên: Jadon Sancho
  - ID: bced0375, Tên: Ibrahim Sangaré
  - ID: dd745366, Tên: Andrey Santos
  - ID: bfdb33aa, Tên: Ismaila Sarr
  - ID: fe6e7156, Tên: Sávio
  - ID: e041497d, Tên: Nicolò Savona
  - ID: 242e5e6d, Tên: Oliver Scarles
  - ID: 52afb588, Tên: Kevin Schade
  - ID: c8aa95da, Tên: Fabian Schär
  - ID: 104d0bb8, Tên: Alex Scott
  - ID: ec75ee25, Tên: Jenson Seelt
  - ID: 834b5c4c, Tên: Matz Sels
  - ID: efd2ec23, Tên: Antoine Semenyo
  - ID: 35141f4c, Tên: Marcos Senesi
  - ID: 3260690c, Tên: Benjamin Šeško
  - ID: 6aa3e78b, Tên: Ryan Sessegnon
  - ID: 9c94165b, Tên: Luke Shaw
  - ID: 3eb22ec9, Tên: Bernardo Silva
  - ID: 4d77e622, Tên: Jota Silva
  - ID: da4d670f, Tên: Xavi Simons
  - ID: 20b104bc, Tên: Adam Smith
  - ID: 17695062, Tên: Emile Smith Rowe
  - ID: e77dc3b2, Tên: Dominic Solanke
  - ID: 98c8559a, Tên: Julio Soler
  - ID: b66b8d5e, Tên: Oliver Sonne
  - ID: af0d79a9, Tên: Borna Sosa
  - ID: 6613c819, Tên: Tomáš Souček
  - ID: 9bc9a519, Tên: Djed Spence
  - ID: 0f59a7bf, Tên: Anton Stach
  - ID: 5eecec3d, Tên: John Stones
  - ID: f553b2b3, Tên: Jørgen Strand Larsen
  - ID: f4d296e4, Tên: Pascal Struijk
  - ID: df04eb4b, Tên: Crysencio Summerville
  - ID: 934e1968, Tên: Dominik Szoboszlai
  - ID: 47ce793b, Tên: Chemsdine Talbi
  - ID: 1d36d6b6, Tên: Ao Tanaka
  - ID: 15ea812b, Tên: James Tarkowski
  - ID: 5c0da4a4, Tên: Marcus Tavernier
  - ID: a3c8b4d3, Tên: Loum Tchaouna
  - ID: aeca7743, Tên: Jackson Tchatchoua
  - ID: 829aa60c, Tên: Mathys Tel
  - ID: 77d7c96f, Tên: Kenny Tete
  - ID: dc45ac24, Tên: Thiago
  - ID: ff5ea0bf, Tên: Malick Thiaw
  - ID: 56f7a928, Tên: Youri Tielemans
  - ID: 41034650, Tên: Jurriën Timber
  - ID: 88f130ed, Tên: Jean-Clair Todibo
  - ID: 0db169ae, Tên: Sandro Tonali
  - ID: 532e1e4f, Tên: Pau Torres
  - ID: 259fea27, Tên: James Trafford
  - ID: 9a28eba4, Tên: Adama Traoré
  - ID: c47541e0, Tên: Bertrand Traoré
  - ID: b2a81fc6, Tên: Mike Trésor
  - ID: 21512407, Tên: Kieran Trippier
  - ID: 38ceb24a, Tên: Leandro Trossard
  - ID: 5d0e0a1f, Tên: Adrien Truffert
  - ID: 2baec6ce, Tên: Axel Tuanzebe
  - ID: a497130f, Tên: Stefanos Tzimas
  - ID: 87941696, Tên: Christantus Uche
  - ID: 7cd520e8, Tên: Destiny Udogie
  - ID: c9817014, Tên: Manuel Ugarte
  - ID: 1df4a109, Tên: Lesley Ugochukwu
  - ID: f8eca1b6, Tên: Enes Ünal
  - ID: e06683ca, Tên: Virgil van Dijk
  - ID: dad4b285, Tên: Joël Veltman
  - ID: 8fe2a392, Tên: Micky van de Ven
  - ID: cf134113, Tên: Bart Verbruggen
  - ID: 77d6fd4d, Tên: Guglielmo Vicario
  - ID: 86dd77d1, Tên: Kyle Walker
  - ID: 984a5a64, Tên: Kyle Walker-Peters
  - ID: 9e525177, Tên: Aaron Wan-Bissaka
  - ID: 3515d404, Tên: James Ward-Prowse
  - ID: aed3a70f, Tên: Ollie Watkins
  - ID: 9886c32e, Tên: Tom Watson
  - ID: ce5143da, Tên: Danny Welbeck
  - ID: 4b542852, Tên: Adam Wharton
  - ID: 35e413f1, Tên: Ben White
  - ID: 4876c9ab, Tên: Mats Wieffer
  - ID: dd323728, Tên: Neco Williams
  - ID: 2eda11b1, Tên: Estêvão Willian
  - ID: a3b03921, Tên: Joe Willock
  - ID: c596fcb0, Tên: Callum Wilson
  - ID: c6dc9ecd, Tên: Harry Wilson
  - ID: ba31eee2, Tên: Ben Winterburn
  - ID: e7fcf289, Tên: Florian Wirtz
  - ID: 2500cef9, Tên: Yoane Wissa
